Month,"Days to Sell, Median","List Price, Median"
Jan 2024,24,"$2,600"
Feb 2024,28,"$2,600"
Mar 2024,29,"$2,620"
Apr 2024,27,"$2,600"
May 2024,21,"$2,700"
Jun 2024,15,"$2,813"
Jul 2024,21,"$2,725"
Aug 2024,22,"$2,750"
Sep 2024,21,"$2,530"
Oct 2024,21,"$2,600"
Nov 2024,22,"$2,625"
Dec 2024,32,"$2,625"
Jan 2025,40,"$2,600"
Feb 2025,35,"$2,500"
