Month,"Original Price, Median","Sale Price, Median"
Jan 2024,"$2,650","$2,800"
Feb 2024,"$2,500","$2,500"
Mar 2024,"$2,620","$2,700"
Apr 2024,"$2,650","$2,525"
May 2024,"$2,700","$2,475"
Jun 2024,"$2,813","$2,775"
Jul 2024,"$2,750","$2,540"
Aug 2024,"$2,800","$2,700"
Sep 2024,"$2,525","$2,800"
Oct 2024,"$2,588","$2,650"
Nov 2024,"$2,650","$2,538"
Dec 2024,"$2,600","$2,750"
Jan 2025,"$2,600","$2,500"
Feb 2025,"$2,500","$2,400"
