Month,"Original Price, Average","Sale Price, Average"
Jan 2024,"$5,224","$2,850"
Feb 2024,"$2,690","$2,781"
Mar 2024,"$2,752","$2,792"
Apr 2024,"$2,890","$2,742"
May 2024,"$2,864","$3,301"
Jun 2024,"$2,930","$3,152"
Jul 2024,"$2,928","$3,225"
Aug 2024,"$2,900","$2,813"
Sep 2024,"$2,801","$2,868"
Oct 2024,"$2,819","$2,849"
Nov 2024,"$2,876","$3,136"
Dec 2024,"$2,747","$2,942"
Jan 2025,"$3,063","$2,685"
Feb 2025,"$2,755","$2,723"
