Month,"Days to Sell, Average","List Price, Average"
Jan 2024,34,"$2,699"
Feb 2024,37,"$2,696"
Mar 2024,40,"$2,748"
Apr 2024,37,"$2,868"
May 2024,37,"$2,843"
Jun 2024,23,"$2,934"
Jul 2024,37,"$2,921"
Aug 2024,31,"$2,891"
Sep 2024,35,"$2,805"
Oct 2024,30,"$2,821"
Nov 2024,38,"$2,879"
Dec 2024,44,"$2,735"
Jan 2025,47,"$2,822"
Feb 2025,49,"$2,745"
