Month,"Active Listings, Number of",Sale Price to Original Price Ratio
Jan 2024,348,99.8%
Feb 2024,368,99.9%
Mar 2024,353,98.5%
Apr 2024,334,98.7%
May 2024,349,110.1%
Jun 2024,385,109.1%
Jul 2024,378,109.2%
Aug 2024,353,99.0%
Sep 2024,351,98.6%
Oct 2024,369,98.7%
Nov 2024,356,107.7%
Dec 2024,339,98.8%
Jan 2025,367,98.0%
Feb 2025,336,182.8%
