Month,"Active Listings, Number of",Sale Price to Original Price Ratio
Jan 2024,2,
Feb 2024,2,
Mar 2024,4,
Apr 2024,5,90.9%
May 2024,4,96.8%
Jun 2024,3,
Jul 2024,3,113.3%
Aug 2024,4,100.0%
Sep 2024,6,
Oct 2024,6,86.5%
Nov 2024,5,
Dec 2024,5,108.7%
Jan 2025,4,94.1%
Feb 2025,1,100.9%
