Month,"List Price, Average 2024","List Price, Average 2025"
Jan,"$350,000",
Feb,,
Mar,"$297,000",
Apr,"$325,000",
May,"$264,900",
Jun,,
Jul,"$329,900",
Aug,"$346,633",
Sep,"$299,950",
Oct,,
Nov,"$325,000",
Dec,"$299,000",
