Month,"Original Price, Median","Sale Price, Median"
Jan 2024,"$2,800","$2,800"
Feb 2024,"$2,700","$2,700"
Mar 2024,"$2,800","$2,790"
Apr 2024,"$2,500","$2,600"
May 2024,"$2,900","$2,850"
Jun 2024,"$2,850","$2,663"
Jul 2024,"$2,800","$2,800"
Aug 2024,"$2,600","$2,825"
Sep 2024,"$2,650","$2,750"
Oct 2024,"$2,600","$2,615"
Nov 2024,"$2,400","$2,613"
Dec 2024,"$2,700","$2,700"
Jan 2025,"$2,625","$2,550"
Feb 2025,"$2,550","$2,500"
