Month,"Days to Sell, Median","List Price, Median"
Jan 2024,21,"$2,700"
Feb 2024,30,"$2,600"
Mar 2024,24,"$2,700"
Apr 2024,19,"$2,500"
May 2024,26,"$2,700"
Jun 2024,10,"$2,838"
Jul 2024,18,"$2,800"
Aug 2024,22,"$2,600"
Sep 2024,14,"$2,675"
Oct 2024,24,"$2,563"
Nov 2024,23,"$2,525"
Dec 2024,37,"$2,700"
Jan 2025,47,"$2,625"
Feb 2025,36,"$2,525"
