Month,"Original Price, Average","Sale Price, Average"
Jan 2024,"$3,308","$2,772"
Feb 2024,"$2,731","$2,900"
Mar 2024,"$2,842","$2,877"
Apr 2024,"$2,900","$2,768"
May 2024,"$2,982","$2,904"
Jun 2024,"$2,994","$2,731"
Jul 2024,"$3,020","$2,895"
Aug 2024,"$2,856","$2,894"
Sep 2024,"$2,742","$3,346"
Oct 2024,"$2,752","$2,810"
Nov 2024,"$2,801","$3,338"
Dec 2024,"$2,799","$2,953"
Jan 2025,"$2,840","$3,320"
Feb 2025,"$2,982","$2,702"
