Month,"Original Price, Average","Sale Price, Average"
Jan 2024,"$274,073","$292,029"
Feb 2024,"$287,836","$267,515"
Mar 2024,"$341,590","$281,469"
Apr 2024,"$329,652","$314,350"
May 2024,"$358,676","$315,331"
Jun 2024,"$332,105","$328,110"
Jul 2024,"$312,509","$333,074"
Aug 2024,"$313,965","$324,474"
Sep 2024,"$317,640","$299,126"
Oct 2024,"$326,722","$315,865"
Nov 2024,"$298,230","$297,518"
Dec 2024,"$313,306","$338,573"
Jan 2025,"$309,053","$308,073"
Feb 2025,"$335,665","$292,841"
