Month,"Original Price, Median","Sale Price, Median"
Jan 2024,"$307,450","$297,000"
Feb 2024,"$299,900","$292,000"
Mar 2024,"$300,000","$299,950"
Apr 2024,"$315,000","$300,000"
May 2024,"$299,900","$290,000"
Jun 2024,"$300,000","$290,000"
Jul 2024,"$300,000","$295,000"
Aug 2024,"$300,000","$302,500"
Sep 2024,"$307,000","$295,000"
Oct 2024,"$312,450","$290,000"
Nov 2024,"$305,000","$290,000"
Dec 2024,"$300,000","$299,900"
Jan 2025,"$299,900","$290,080"
Feb 2025,"$299,900","$281,000"
