Month,"Days to Sell, Median","List Price, Median"
Jan 2024,21,"$299,999"
Feb 2024,24,"$299,900"
Mar 2024,17,"$299,450"
Apr 2024,19,"$300,000"
May 2024,16,"$299,000"
Jun 2024,17,"$295,000"
Jul 2024,20,"$299,914"
Aug 2024,18,"$300,000"
Sep 2024,18,"$299,000"
Oct 2024,20,"$300,000"
Nov 2024,16,"$299,900"
Dec 2024,24,"$299,900"
Jan 2025,19,"$297,000"
Feb 2025,13,"$299,900"
