Month,"Active Listings, Number of",Sale Price to Original Price Ratio
Jan 2024,549,96.6%
Feb 2024,594,96.5%
Mar 2024,626,95.7%
Apr 2024,685,97.3%
May 2024,717,97.3%
Jun 2024,718,98.1%
Jul 2024,709,98.5%
Aug 2024,704,97.7%
Sep 2024,731,97.0%
Oct 2024,700,96.7%
Nov 2024,661,97.8%
Dec 2024,585,101.9%
Jan 2025,505,96.4%
Feb 2025,473,96.6%
