Month,"List Price, Average 2024","List Price, Average 2025"
Jan,"$269,965","$310,558"
Feb,"$286,186","$339,432"
Mar,"$340,772",
Apr,"$332,851",
May,"$353,432",
Jun,"$328,206",
Jul,"$308,700",
Aug,"$310,696",
Sep,"$311,494",
Oct,"$323,913",
Nov,"$295,424",
Dec,"$305,294",
