Month,"Days to Sell, Median","List Price, Median"
Jan 2024,14,"$300,000"
Feb 2024,6,
Mar 2024,32,"$312,450"
Apr 2024,106,"$331,200"
May 2024,10,"$338,900"
Jun 2024,13,"$344,000"
Jul 2024,40,"$350,000"
Aug 2024,24,"$315,000"
Sep 2024,14,"$279,000"
Oct 2024,20,
Nov 2024,77,
Dec 2024,20,
Jan 2025,,"$325,000"
Feb 2025,19,"$325,000"
