Month,"Active Listings, Number of",Sale Price to Original Price Ratio
Jan 2024,8,90.0%
Feb 2024,7,106.2%
Mar 2024,5,102.0%
Apr 2024,9,87.3%
May 2024,8,100.0%
Jun 2024,11,
Jul 2024,9,95.7%
Aug 2024,14,93.3%
Sep 2024,10,106.8%
Oct 2024,8,98.2%
Nov 2024,6,96.8%
Dec 2024,2,98.3%
Jan 2025,3,
Feb 2025,2,102.7%
