Month,"Active Listings, Number of",Sale Price to Original Price Ratio
Jan 2024,70,98.2%
Feb 2024,70,99.3%
Mar 2024,72,98.4%
Apr 2024,70,98.2%
May 2024,74,98.9%
Jun 2024,98,99.4%
Jul 2024,93,132.4%
Aug 2024,73,99.7%
Sep 2024,82,97.0%
Oct 2024,87,97.3%
Nov 2024,77,97.5%
Dec 2024,70,97.4%
Jan 2025,69,98.1%
Feb 2025,62,99.6%
