Month,"Original Price, Average","Sale Price, Average"
Jan 2024,"$2,565","$2,581"
Feb 2024,"$2,473","$2,772"
Mar 2024,"$2,868","$2,884"
Apr 2024,"$2,694","$2,810"
May 2024,"$2,835","$2,407"
Jun 2024,"$2,711","$2,656"
Jul 2024,"$3,161","$4,750"
Aug 2024,"$2,696","$2,696"
Sep 2024,"$2,872","$2,693"
Oct 2024,"$3,020","$2,888"
Nov 2024,"$2,500","$2,773"
Dec 2024,"$2,694","$2,625"
Jan 2025,"$2,894","$2,280"
Feb 2025,"$2,411","$3,078"
