Month,"Original Price, Median","Sale Price, Median"
Jan 2024,"$2,250","$2,650"
Feb 2024,"$2,400","$2,400"
Mar 2024,"$2,450","$2,175"
Apr 2024,"$2,950","$4,500"
May 2024,"$3,100","$2,280"
Jun 2024,"$2,500","$2,400"
Jul 2024,"$2,300","$2,950"
Aug 2024,"$2,300","$2,500"
Sep 2024,"$2,000","$2,548"
Oct 2024,"$2,550","$2,625"
Nov 2024,"$2,350","$2,550"
Dec 2024,"$2,150","$2,200"
Jan 2025,"$2,350","$2,200"
Feb 2025,"$2,000","$2,225"
