Month,"Days to Sell, Median","List Price, Median"
Jan 2024,24,"$2,495"
Feb 2024,35,"$2,400"
Mar 2024,27,"$2,398"
Apr 2024,22,"$2,675"
May 2024,22,"$2,700"
Jun 2024,23,"$2,450"
Jul 2024,17,"$2,800"
Aug 2024,21,"$2,475"
Sep 2024,22,"$3,200"
Oct 2024,17,"$2,625"
Nov 2024,27,"$2,400"
Dec 2024,40,"$2,400"
Jan 2025,44,"$2,618"
Feb 2025,12,"$2,400"
