Month,"Days to Sell, Average","List Price, Average"
Jan 2024,33,"$2,591"
Feb 2024,30,"$2,412"
Mar 2024,62,"$2,739"
Apr 2024,27,"$2,675"
May 2024,47,"$2,757"
Jun 2024,23,"$2,688"
Jul 2024,23,"$3,082"
Aug 2024,29,"$2,718"
Sep 2024,37,"$3,019"
Oct 2024,25,"$3,054"
Nov 2024,39,"$2,458"
Dec 2024,49,"$2,647"
Jan 2025,49,"$2,943"
Feb 2025,28,"$2,432"
